,S11,S12,S13,S14,S21,S22,S23,S24,S31,S32,S33,S34,S41,S42,S43,S44,wavelength
20,(-0.0001843840625557471+2.0189667170707046e-05j),(-0.000428472169372319-0.00033317720343039995j),(0.07223633460714009-0.08941830620809306j),(0.5876581044341931+0.8012090871422434j),(-0.00042946014023121607-0.00033198454233586747j),(0.004367107994014215-0.008999242203078982j),(-0.9047252792786813-0.4048465345566705j),(-0.07224172900844857+0.08942339490650424j),(-0.07224172900844857+0.08942339490650424j),(-0.9047252792786813-0.4048465345566705j),(0.004367107994014215-0.008999242203078982j),(-0.00042946014023121607-0.00033198454233586747j),(0.5876581044341931+0.8012090871422434j),(0.07223633460714009-0.08941830620809306j),(-0.000428472169372319-0.00033317720343039995j),(-0.0001843840625557471+2.0189667170707046e-05j),1.589351081530782
21,(-0.0001922801792533683+2.66305161687526e-05j),(-0.0003037415374660582-0.0004534992103078174j),(0.08726311628883658-0.07431802518076139j),(0.46553378343365803+0.8772890784660131j),(-0.00030482745634762-0.0004524468129826033j),(0.00618295980012754-0.007780894593788542j),(-0.7905430258886282-0.5979681327611951j),(-0.08728240543691393+0.07432100152617575j),(-0.08728240543691393+0.07432100152617575j),(-0.7905430258886282-0.5979681327611951j),(0.00618295980012754-0.007780894593788542j),(-0.00030482745634762-0.0004524468129826033j),(0.46553378343365803+0.8772890784660131j),(0.08726311628883658-0.07431802518076139j),(-0.0003037415374660582-0.0004534992103078174j),(-0.0001922801792533683+2.66305161687526e-05j),1.5888223552894212
22,(-0.00010966956266520562-0.00011984735640554132j),(-0.00014501684946546036-0.0005247710241095251j),(0.09915094034285116-0.056627127875272514j),(0.333503469960376+0.9358778394761367j),(-0.00014617647691528358-0.0005236373798198596j),(0.007663746706693217-0.006060907896711404j),(-0.6345604573226877-0.7610222506536071j),(-0.09916439903703118+0.05663802124726016j),(-0.09916439903703118+0.05663802124726016j),(-0.6345604573226877-0.7610222506536071j),(0.007663746706693217-0.006060907896711404j),(-0.00014617647691528358-0.0005236373798198596j),(0.333503469960376+0.9358778394761367j),(0.09915094034285116-0.056627127875272514j),(-0.00014501684946546036-0.0005247710241095251j),(-0.00010966956266520562-0.00011984735640554132j),1.5882939807116727
23,(-0.00015660071134358675-0.0001938643547446942j),(2.8078707570473297e-05-0.0005363537411819822j),(0.10765118632540259-0.037158638537824557j),(0.1951744725716995+0.974195340751013j),(2.699174227889586e-05-0.0005352683404568511j),(0.008278398067393092-0.0040943021177959876j),(-0.4470751907950332-0.8850955532775456j),(-0.10765988110486292+0.03715512503578932j),(-0.10765988110486292+0.03715512503578932j),(-0.4470751907950332-0.8850955532775456j),(0.008278398067393092-0.0040943021177959876j),(2.699174227889586e-05-0.0005352683404568511j),(0.1951744725716995+0.974195340751013j),(0.10765118632540259-0.037158638537824557j),(2.8078707570473297e-05-0.0005363537411819822j),(-0.00015660071134358675-0.0001938643547446942j),1.5877659574468086
24,(-3.0124177838032083e-05-0.00018722755437285382j),(0.0001936062328768754-0.0004883704008770994j),(0.11225294981742932-0.016565425259119297j),(0.0517590935409639+0.9919354062433152j),(0.00019242190960943684-0.0004873552250877154j),(0.008197347568184282-0.0019034424051517938j),(-0.23578548830791954-0.9624513073742667j),(-0.11227450923563595+0.016560944584764373j),(-0.11227450923563595+0.016560944584764373j),(-0.23578548830791954-0.9624513073742667j),(0.008197347568184282-0.0019034424051517938j),(0.00019242190960943684-0.0004873552250877154j),(0.0517590935409639+0.9919354062433152j),(0.11225294981742932-0.016565425259119297j),(0.0001936062328768754-0.0004883704008770994j),(-3.0124177838032083e-05-0.00018722755437285382j),1.5872382851445666
25,(4.8069103242818994e-05-0.00031262979225381385j),(0.00032925241105866593-0.0003875719015992164j),(0.11301341090207048+0.00458708594268501j),(-0.09215699019599204+0.989564960585472j),(0.00032803487062184274-0.00038650238820628065j),(0.00749433387219996-0.00013185427260997405j),(-0.011978587405783487-0.9914358957652438j),(-0.11302550418989807-0.004584483949629314j),(-0.11302550418989807-0.004584483949629314j),(-0.011978587405783487-0.9914358957652438j),(0.00749433387219996-0.00013185427260997405j),(0.00032803487062184274-0.00038650238820628065j),(-0.09215699019599204+0.989564960585472j),(0.11301341090207048+0.00458708594268501j),(0.00032925241105866593-0.0003875719015992164j),(4.8069103242818994e-05-0.00031262979225381385j),1.5867109634551497
26,(8.13062762169416e-05-0.00026616371147378785j),(0.0004193974271002658-0.00024825256803182445j),(0.10990505827150461+0.025315709149597045j),(-0.2340628882628554+0.9653865554676146j),(0.0004181590544674766-0.00024723028650409375j),(0.006066977600112631+0.001212647717145802j),(0.211352789359309-0.9686096867072691j),(-0.10991099954820999-0.02532961299632758j),(-0.10991099954820999-0.02532961299632758j),(0.211352789359309-0.9686096867072691j),(0.006066977600112631+0.001212647717145802j),(0.0004181590544674766-0.00024723028650409375j),(-0.2340628882628554+0.9653865554676146j),(0.10990505827150461+0.025315709149597045j),(0.0004193974271002658-0.00024825256803182445j),(8.13062762169416e-05-0.00026616371147378785j),1.5861839920292262
27,(0.0002527192532437154-0.00022244157946283506j),(0.00045345158616062916-9.130069495789552e-05j),(0.10289405804865097+0.045100671748670294j),(-0.37180946013148014+0.9215275712224688j),(0.0004521349093558894-9.030247960409163e-05j),(0.004510967822141516+0.001998842754674568j),(0.4250768449037165-0.895397002070949j),(-0.10291236857681041-0.045109333272769274j),(-0.10291236857681041-0.045109333272769274j),(0.4250768449037165-0.895397002070949j),(0.004510967822141516+0.001998842754674568j),(0.0004521349093558894-9.030247960409163e-05j),(-0.37180946013148014+0.9215275712224688j),(0.10289405804865097+0.045100671748670294j),(0.00045345158616062916-9.130069495789552e-05j),(0.0002527192532437154-0.00022244157946283506j),1.5856573705179284
28,(0.00025603842004269316-0.00025428758868784545j),(0.0004293077644338691+6.250877566494726e-05j),(0.0925042109816392+0.06324824585229763j),(-0.5007972685969645+0.8583795963906745j),(0.00042796732557067764+6.348322385197738e-05j),(0.0028747146400544443+0.0019202152436894827j),(0.6163179393242898-0.7771089412357463j),(-0.09250958017300509-0.06325151972436752j),(-0.09250958017300509-0.06325151972436752j),(0.6163179393242898-0.7771089412357463j),(0.0028747146400544443+0.0019202152436894827j),(0.00042796732557067764+6.348322385197738e-05j),(-0.5007972685969645+0.8583795963906745j),(0.0925042109816392+0.06324824585229763j),(0.0004293077644338691+6.250877566494726e-05j),(0.00025603842004269316-0.00025428758868784545j),1.585131098572851
29,(0.00030779336406775234-9.857050273315225e-05j),(0.00035460541372424396+0.00019177896426884883j),(0.07892448959332907+0.07896376330460946j),(-0.619873637275313+0.7763563892211232j),(0.00035316385819027376+0.00019271936869145678j),(0.0014007160727304948+0.0014028024099620381j),(0.7753230888121868-0.6174554455810322j),(-0.07892764346110852-0.07898312932808453j),(-0.07892764346110852-0.07898312932808453j),(0.7753230888121868-0.6174554455810322j),(0.0014007160727304948+0.0014028024099620381j),(0.00035316385819027376+0.00019271936869145678j),(-0.619873637275313+0.7763563892211232j),(0.07892448959332907+0.07896376330460946j),(0.00035460541372424396+0.00019177896426884883j),(0.00030779336406775234-9.857050273315225e-05j),1.5846051758460518
