["o1","LEFT"]
["o2","LEFT"]
["o3","LEFT"]
["o4","RIGHT"]
("o1","mode 1",1,"o1",1,"transmission",2.45374e-12)
(202, 3)
1.8881401039865997e+14 5.3708821388924260e-04 -3.1810335657328820e-01
1.8887678101381909e+14 5.2534657309402308e-04 -3.3720288239978097e-01
1.8893955162897822e+14 5.0854609338503172e-04 -3.5463574966929962e-01
1.8900232224413734e+14 4.8736386754940952e-04 -3.6674433966358516e-01
1.8906509285929647e+14 4.6255178941539634e-04 -3.7519563483326623e-01
1.8912786347445562e+14 4.3383465011261741e-04 -3.7614245846786204e-01
1.8919063408961475e+14 4.0314286621317589e-04 -3.6918330147554185e-01
1.8925340470477388e+14 3.6985314428938807e-04 -3.5151225673547143e-01
1.8931617531993300e+14 3.3638499660290497e-04 -3.1842408048186394e-01
1.8937894593509212e+14 3.0281914980401957e-04 -2.6862460622946494e-01
1.8944171655025125e+14 2.7128742478187519e-04 -1.9229320210489442e-01
1.8950448716541038e+14 2.4355929195004120e-04 -8.9876005064060918e-02
1.8956725778056950e+14 2.2110758420193751e-04 4.7404440497945774e-02
1.8963002839572866e+14 2.0699774367562184e-04 2.1042943109271106e-01
1.8969279901088778e+14 2.0105224724747812e-04 3.8934737614124482e-01
1.8975556962604691e+14 2.0467263345312728e-04 5.6217609840190974e-01
1.8981834024120603e+14 2.1459603552694345e-04 7.1157237561910502e-01
1.8988111085636516e+14 2.2986632623920848e-04 8.3248983681556854e-01
1.8994388147152428e+14 2.4690477478775988e-04 9.2180665002644835e-01
1.9000665208668341e+14 2.6459608753948870e-04 9.8928791393906679e-01
1.9006942270184253e+14 2.8113224457779575e-04 1.0349040344232154e+00
1.9013219331700169e+14 2.9530966760405006e-04 1.0686489587180854e+00
1.9019496393216081e+14 3.0709327027727998e-04 1.0899576613536497e+00
1.9025773454731994e+14 3.1483572481033823e-04 1.1047892219565167e+00
1.9032050516247906e+14 3.1966832925763049e-04 1.1143628310057780e+00
1.9038327577763819e+14 3.1993843595041945e-04 1.1195890536854622e+00
1.9044604639279731e+14 3.1679295671358508e-04 1.1250091152440940e+00
1.9050881700795644e+14 3.0960025816643614e-04 1.1277424508492631e+00
1.9057158762311556e+14 2.9844677308810889e-04 1.1342501445795239e+00
1.9063435823827472e+14 2.8423766412433198e-04 1.1417767383736090e+00
1.9069712885343384e+14 2.6601353396538786e-04 1.1554306801001124e+00
1.9075989946859297e+14 2.4562121108782323e-04 1.1772462432298711e+00
