["o1","LEFT"]
["o2","LEFT"]
["o3","LEFT"]
["o4","RIGHT"]
("o1","mode 1",1,"o1",1,"transmission",1.30759e-12)
(202, 3)
1.9797852021189278e+14 3.0618923625559062e-04 -3.1010522273519886e+01
1.9804129082705191e+14 2.7217601794288264e-04 -3.1288938152757765e+01
1.9810406144221106e+14 3.5285326034850250e-04 -3.1413835430168405e+01
1.9816683205737019e+14 3.5361401379744944e-04 -3.1866140482546399e+01
1.9822960267252931e+14 3.5575295113524026e-04 -3.1963368406666639e+01
1.9829237328768844e+14 4.1022276511315026e-04 -3.2379947109807517e+01
1.9835514390284756e+14 3.4674874042182966e-04 -3.2629985187287637e+01
1.9841791451800669e+14 4.0499326748003170e-04 -3.2866356796390811e+01
1.9848068513316581e+14 3.4989996262064149e-04 -3.3289895643302465e+01
1.9854345574832494e+14 3.3985880287057445e-04 -3.3374642134835526e+01
1.9860622636348406e+14 3.3992116736789789e-04 -3.3821931522605396e+01
1.9866899697864322e+14 2.5493533835701349e-04 -3.3936908404209824e+01
1.9873176759380234e+14 2.8842412086288932e-04 -3.4193494273539422e+01
1.9879453820896147e+14 1.9263529195490153e-04 -3.4482084347495991e+01
1.9885730882412059e+14 2.1507672663742853e-04 -3.4370818174177380e+01
1.9892007943927972e+14 1.6771535307047989e-04 -3.4755748209838202e+01
1.9898285005443884e+14 1.7506101222429103e-04 -3.4363606827446823e+01
1.9904562066959797e+14 1.9746680193660291e-04 -3.4763333760414781e+01
1.9910839128475712e+14 1.9091058572676586e-04 -3.4537550797063524e+01
1.9917116189991625e+14 2.7359907997698518e-04 -3.4899227945848160e+01
1.9923393251507538e+14 2.4128225840120766e-04 -3.5041503158947407e+01
1.9929670313023450e+14 3.3933393298842928e-04 -3.5230049693382163e+01
1.9935947374539362e+14 3.2094440199693887e-04 -3.5633677359535355e+01
1.9942224436055275e+14 3.6151250911753532e-04 -3.5713428635053290e+01
1.9948501497571188e+14 3.9803219177134250e-04 -3.6168496016935897e+01
1.9954778559087100e+14 3.5567021350423484e-04 -3.6336553632383350e+01
1.9961055620603012e+14 4.2551637539211406e-04 -3.6656561114522084e+01
1.9967332682118928e+14 3.5756627403769539e-04 -3.7019154129396405e+01
1.9973609743634841e+14 3.8522146264598358e-04 -3.7147337895918213e+01
1.9979886805150753e+14 3.6238638011995729e-04 -3.7614857580654480e+01
1.9986163866666666e+14 3.0207246352961228e-04 -3.7687621358735420e+01
("o1","mode 1",1,"o2",1,"transmission",1.1391604891328598e-12)
(202, 3)
1.8737028625000000e+14 4.7592885278425790e-04 -2.9447428623146723e+00
1.8743305686515912e+14 4.9652533917197679e-04 -3.0686356189154589e+00
1.8749582748031825e+14 5.1215923573332380e-04 -3.1931397164554673e+00
1.8755859809547738e+14 5.2382424404938226e-04 -3.3166932528324415e+00
1.8762136871063653e+14 5.3068991439796109e-04 -3.4408791954253344e+00
1.8768413932579566e+14 5.3286374648402939e-04 -3.5629479350655049e+00
1.8774690994095478e+14 5.3082462191410631e-04 -3.6844955303682889e+00
1.8780968055611391e+14 5.2388229661735767e-04 -3.8036212595878891e+00
1.8787245117127303e+14 5.1326606801891284e-04 -3.9202596447876958e+00
1.8793522178643216e+14 4.9828228101522710e-04 -4.0340708082868719e+00
1.8799799240159128e+14 4.8012578390788313e-04 -4.1432204318895307e+00
1.8806076301675041e+14 4.5873235919164333e-04 -4.2484372779249542e+00
1.8812353363190956e+14 4.3483911511364275e-04 -4.3466339364215019e+00
1.8818630424706869e+14 4.0927580494687740e-04 -4.4386484096919130e+00
1.8824907486222781e+14 3.8214870309013962e-04 -4.5210884694568882e+00
1.8831184547738694e+14 3.5513914427449852e-04 -4.5935055524707851e+00
1.8837461609254606e+14 3.2802064705457387e-04 -4.6538680760302293e+00
1.8843738670770519e+14 3.0275534707106843e-04 -4.6991920849193791e+00
1.8850015732286431e+14 2.7946213678979977e-04 -4.7306585397468446e+00
1.8856292793802344e+14 2.5947854839328374e-04 -4.7442620631254862e+00
1.8862569855318259e+14 2.4359704224029903e-04 -4.7456227995466227e+00
1.8868846916834172e+14 2.3189076566409837e-04 -4.7344390709785618e+00
1.8875123978350084e+14 2.2519671343677498e-04 -4.7198400763787838e+00
1.8881401039865997e+14 2.2221189834754145e-04 -4.7065099268052943e+00
1.8887678101381909e+14 2.2313143827159182e-04 -4.7009536005163310e+00
1.8893955162897822e+14 2.2597416673360928e-04 -4.7077970754704985e+00
1.8900232224413734e+14 2.3048000234116023e-04 -4.7265353676174691e+00
1.8906509285929647e+14 2.3502983692892535e-04 -4.7598143101192436e+00
1.8912786347445562e+14 2.3913995992432861e-04 -4.8025665871178838e+00
1.8919063408961475e+14 2.4210137032429252e-04 -4.8568487353694181e+00
1.8925340470477388e+14 2.4309023077057233e-04 -4.9169388838784398e+00
1.8931617531993300e+14 2.4240334087181423e-04 -4.9837792468864199e+00
1.8937894593509212e+14 2.3890863079537145e-04 -5.0538713971234817e+00
1.8944171655025125e+14 2.3345107112924214e-04 -5.1251514976610002e+00
1.8950448716541038e+14 2.2510665329037469e-04 -5.1975593420900141e+00
1.8956725778056950e+14 2.1452493160629098e-04 -5.2653167826803360e+00
1.8963002839572866e+14 2.0164293016221814e-04 -5.3298840573583446e+00
1.8969279901088778e+14 1.8653428795783130e-04 -5.3829353520344094e+00
1.8975556962604691e+14 1.7018429569732170e-04 -5.4228184727142619e+00
1.8981834024120603e+14 1.5251855032683473e-04 -5.4391462229083318e+00
1.8988111085636516e+14 1.3551576034302436e-04 -5.4217367337043481e+00
1.8994388147152428e+14 1.2005762251148071e-04 -5.3579729753933707e+00
1.9000665208668341e+14 1.0947278531961595e-04 -5.2354910748900849e+00
1.9006942270184253e+14 1.0601412040226569e-04 -5.0708395297503275e+00
1.9013219331700169e+14 1.1207584376189603e-04 -4.9010810029939913e+00
1.9019496393216081e+14 1.2653845714182831e-04 -4.7790509487765140e+00
1.9025773454731994e+14 1.4735542758471238e-04 -4.7136738423886806e+00
1.9032050516247906e+14 1.7202947251720863e-04 -4.7038780550877490e+00
1.9038327577763819e+14 1.9843150183275908e-04 -4.7304901589521355e+00
1.9044604639279731e+14 2.2571283419788859e-04 -4.7860575240066527e+00
1.9050881700795644e+14 2.5209453087196468e-04 -4.8602859270995724e+00
1.9057158762311556e+14 2.7760731835346861e-04 -4.9480101546395314e+00
1.9063435823827472e+14 3.0083969764064812e-04 -5.0464202886779592e+00
1.9069712885343384e+14 3.2177474364659860e-04 -5.1509244789339004e+00
1.9075989946859297e+14 3.3971694865208267e-04 -5.2618029488026838e+00
1.9082267008375209e+14 3.5421527342633085e-04 -5.3754630696212455e+00
1.9088544069891122e+14 3.6532313838215098e-04 -5.4924359210001423e+00
1.9094821131407034e+14 3.7228840804964618e-04 -5.6106442296690169e+00
1.9101098192922947e+14 3.7564057852889244e-04 -5.7296167864297898e+00
1.9107375254438859e+14 3.7465211520505795e-04 -5.8489700445604340e+00
1.9113652315954775e+14 3.6991129721117305e-04 -5.9667485821635404e+00
1.9119929377470688e+14 3.6121114264290547e-04 -6.0839097377285682e+00
1.9126206438986600e+14 3.4872835117833828e-04 -6.1974322414945631e+00
1.9132483500502512e+14 3.3310385900148074e-04 -6.3081241440246325e+00
1.9138760562018425e+14 3.1400481360277510e-04 -6.4134152702794438e+00
1.9145037623534338e+14 2.9266757099664784e-04 -6.5116753035655712e+00
1.9151314685050250e+14 2.6885003439243161e-04 -6.6016558747789009e+00
1.9157591746566162e+14 2.4367196073883364e-04 -6.6777573701642297e+00
1.9163868808082078e+14 2.1770032679050409e-04 -6.7382966728015932e+00
1.9170145869597991e+14 1.9172663641015713e-04 -6.7732855496223046e+00
1.9176422931113903e+14 1.6744886805718245e-04 -6.7763920712100854e+00
1.9182699992629816e+14 1.4601589225990156e-04 -6.7343519650692780e+00
1.9188977054145728e+14 1.3039970377510564e-04 -6.6404097068506109e+00
1.9195254115661641e+14 1.2238523965443025e-04 -6.5024851184279191e+00
1.9201531177177553e+14 1.2407642184233977e-04 -6.3525336078393675e+00
1.9207808238693466e+14 1.3404161836874030e-04 -6.2333730693933305e+00
1.9214085300209381e+14 1.5049544157257538e-04 -6.1624127838766354e+00
1.9220362361725294e+14 1.7037180204538648e-04 -6.1413913663426651e+00
1.9226639423241206e+14 1.9199644404808489e-04 -6.1556786380736899e+00
1.9232916484757119e+14 2.1395178644734029e-04 -6.1990614637928116e+00
1.9239193546273031e+14 2.3506105256727524e-04 -6.2601829246035514e+00
1.9245470607788944e+14 2.5517957869137516e-04 -6.3360108441638339e+00
1.9251747669304856e+14 2.7315086647749685e-04 -6.4216714720499901e+00
1.9258024730820769e+14 2.8930217259675917e-04 -6.5143217012191883e+00
1.9264301792336684e+14 3.0277157547603035e-04 -6.6133194992669111e+00
1.9270578853852597e+14 3.1365832171788104e-04 -6.7154534392286909e+00
1.9276855915368509e+14 3.2169646581737806e-04 -6.8216474239869349e+00
1.9283132976884422e+14 3.2656522862112227e-04 -6.9292494949171246e+00
1.9289410038400334e+14 3.2854051616413996e-04 -7.0388193365794693e+00
1.9295687099916247e+14 3.2705326239424706e-04 -7.1489399047317264e+00
1.9301964161432159e+14 3.2265342758449841e-04 -7.2589394647356427e+00
1.9308241222948072e+14 3.1484353643694606e-04 -7.3687558048148549e+00
1.9314518284463988e+14 3.0411999251316648e-04 -7.4761031322662523e+00
1.9320795345979900e+14 2.9045450868827926e-04 -7.5818495901905019e+00
1.9327072407495812e+14 2.7394862776724871e-04 -7.6824840480132854e+00
1.9333349469011725e+14 2.5529891082493278e-04 -7.7780700283787905e+00
1.9339626530527638e+14 2.3426731428732430e-04 -7.8650545044924289e+00
1.9345903592043550e+14 2.1203650241973161e-04 -7.9397316571239829e+00
1.9352180653559462e+14 1.8863223846059908e-04 -7.9985203243059431e+00
1.9358457715075375e+14 1.6531770298392601e-04 -8.0309622910074854e+00
1.9359660086208747e+14 1.6087619504607853e-04 -8.0338267771899829e+00
1.9363532405457916e+14 1.4718258402905362e-04 -8.0338267771899829e+00
1.9364734776591291e+14 1.4314646574702024e-04 -8.0300962678865826e+00
1.9371011838107203e+14 1.2372065889163934e-04 -7.9781120915957828e+00
1.9377288899623116e+14 1.0967608968959833e-04 -7.8692151046214569e+00
1.9383565961139028e+14 1.0310732031497382e-04 -7.7094996635880664e+00
1.9389843022654941e+14 1.0583433521752617e-04 -7.5440828357932936e+00
1.9396120084170853e+14 1.1617150370547330e-04 -7.4174473911582401e+00
1.9402397145686766e+14 1.3210306906825137e-04 -7.3490666482215641e+00
1.9408674207202678e+14 1.5044968795980486e-04 -7.3317151809681738e+00
1.9414951268718594e+14 1.7001444091124565e-04 -7.3506841535992171e+00
1.9421228330234506e+14 1.8907067832725082e-04 -7.3966364691145809e+00
1.9427505391750419e+14 2.0719828597204410e-04 -7.4580879721942832e+00
1.9433782453266331e+14 2.2381911403852403e-04 -7.5327645885957573e+00
1.9440059514782244e+14 2.3839347542294135e-04 -7.6137434118305292e+00
1.9446336576298156e+14 2.5120424565241002e-04 -7.7004437802617165e+00
1.9452613637814069e+14 2.6152388392665474e-04 -7.7900126956844327e+00
1.9458890699329981e+14 2.6996643178930620e-04 -7.8806967263231682e+00
1.9465167760845897e+14 2.7604263480856400e-04 -7.9726711245185005e+00
1.9471444822361809e+14 2.8012977915735100e-04 -8.0631834020129389e+00
1.9477721883877722e+14 2.8228455546514810e-04 -8.1535790539671655e+00
1.9483998945393634e+14 2.8248028141326909e-04 -8.2413368246041774e+00
1.9490276006909547e+14 2.8124239012403330e-04 -8.3274178867272415e+00
1.9496553068425459e+14 2.7826930942821129e-04 -8.4104301591766610e+00
1.9502830129941372e+14 2.7432272915011238e-04 -8.4900806615295945e+00
1.9509107191457284e+14 2.6906613123743665e-04 -8.5666321204389586e+00
1.9515384252973200e+14 2.6318701460451249e-04 -8.6381810980515823e+00
1.9521661314489112e+14 2.5666795302362082e-04 -8.7065456523448503e+00
1.9527938376005025e+14 2.4974052173920227e-04 -8.7689032393618334e+00
1.9534215437520938e+14 2.4296254083833887e-04 -8.8274593759221514e+00
